출원번호,초록,메인 ipc코드,서브 ipc코드1,서브 ipc코드2,메인 ipc코드
1.02015E+12,"본 발명은 상품을 포장하기 위하여 먼저 상품을 지정된 개수만큼 선택하고, 선택된 지정된 개수의 상품의 총 중량을 측정하여 지정된 개수의 상품의 총 중량이 지정된 중량에 미달일 경우 상품의 총 중량이 기 설정된 총 중량을 만족할 때까지 상품을 추가적으로 제공하여 포장함으로써 상품의 개수 조건 및 총 중량 조건을 모두 만족할 수 있으며 자동화가 가능한 정수 정량 검사 시스템 및 방법을 제공하며, 정수 정량 검사 시스템은 베이스 몸체 상에 배치되며 상품을 이송하는 상품 이송 유닛; 지정된 개수의 상품이 포함된 특정 구간에 대응하는 특정 구간 데이터를 생성하기 위해 상기 상품들을 순차적으로 촬영하는 카메라를 포함하는 카운터 유닛; 상기 특정 구간에 포함된 지정된 개수의 상품들을 수납하여 상기 상품들의 총 중량을 측정하는 계량 호퍼 유닛; 상기 상품들의 상기 총 중량이 기 설정된 총 중량에 미달일 경우, 상기 기 설정된 총 중량을 만족할 때까지 상기 상품을 추가적으로 상기 계량 호퍼 유닛에 제공하는 상품 추가 제공 유닛; 및 상기 상품 이송 유닛, 상기 카운터 유닛, 상기 계량 호퍼 유닛 및 상기 상품 추가 제공 유닛을 제어하는 제어부를 포함한다.",G01G,,,
1.02E+12,"                                전자 물품 보안 시스템(10)은 소매 점포(16)에 의해 판매된 물품(12)을 모니터하여 감소분을 검출한다.  물품(12)은 RF-ID 보안 태그(22)가 부착된다.  각각의 보안 태그(22)는 개별 제품을 식별하기 위한 고유하거나 반고유한(semi-unique) 일련 번호를 갖는다.  점포 내의 포인트오브세일 단말기로부터 발생된 거래 기록(36)은 원격 컴퓨터(38)에 전송된다.  질의기(42) 및 감시 카메라(58)는 점포 출구 근처에 배치된다.  RF-ID 보안 태그(22)를 가지는 물품(12)이 점포 출구를 지나쳐 통과하는 것으로서 검출될 때, 질의기는 보안 태그(22)로부터 도출된 신호를 출력시킨다.  출력 신호는 보안 태그 일련 번호를 포함한다.  또한, 카메라(58)는 출구를 통과하는 태그 부착 물품을 이동시키는 사람의 영상을 포착한다.  질의기 출력 신호는 원격 컴퓨터(38)에 전송된다.  원격 컴퓨터(38)는 이들 사이의 임의의 불일치를 검출하기 위해 거래 기록(36)을 질의기 출력 신호와 주기적으로 비교한다.  불일치는 불일치 시간 가까이에 그 캡쳐된 비디오 영상을 관람함으로써 조사된다.                                                    보안 태그, 질의기, POS 시스템, 물품 식별 정보, 원격 컴퓨터, 감시 카메라, 재고 데이터, 비교기, 검출 구역                                            ",G08B,,,
1.02003E+12,"수동회전시켜, 코인류(11)가 놓이는 회전반(10)의 외주에, 코인류의 도입구(24)를 갖고 회전반의 외주를 따라서 배치된 대략 원호형상의 코인류 반송경로(23)를 설치하고, 그 도중에 반송상류에서 반송하류로 감에 따라서 소직경에서 대직경의 코인류를 차례로 선별낙하시키는 복수의 선별구멍을 형성하고, 중간기어(40, 41, 42)에 의해 회전반(10)에 동기하여 회전시켜 코인류(11)를 압압반송하는 평면이 원형고리형상인 반송벨트(30)를 설치한다. 도입구(24)와 최상류측의 선별구멍 사이에 배치하여 코인류의 통과수와 직경을 판별하는 코인류 판별수단(31)에 의해, 배치처리모드에 있어서 미리 설정된 계수설정값을 검지하여 포토인터럽터(87)로 연산한 코인류(11)의 이동거리 후, 전자솔레노이드(83)에서 중간기어(41)의 맞물림을 벗기고 반송벨트(30)를 일시적으로 멈춘다. 이것에 의해 콤팩트한 구성으로 코인류의 배치처리를 실행할 수 있다. ",G07D,,,
1.02012E+12,"예를 들어 의료 기관에서 조직 추적을 제공하는 조직 추적 시스템을 개시한다.  조직 추적 시스템은 공급 사슬, 과금, 재고 및/또는 주문 시스템과 통합될 수 있다.  몇몇 실시양태에서, 조직 추적 시스템은 또한 접수, 저장 및 교부하는 동안 조직의 환경 조건을 추적할 수 있다.  조직 격리 방법 또한 개시되어 있다. ",G16H,G16C,,
1.01993E+12,"본 발명은 자동판매기의 냉동실 운용장치에 관한 것으로, 냉동식품 가열판매용 자판기의 가열판매부(30) 상부에 설치되는 냉동저장부(20)의 냉동실(20′)에 전후로 슬라이드 이동가능하게 적어도 하나 이상 설치되고, 상품을 적재하기 위한 상품 적재실(21a)이 구비되는 상품적재용 가동요소(21)와, 내부도어(3) 내측에 상기 냉동실(20′)의 내부가 가려지도록 상기 가동요소(21)의 이동영역 주위에 설치되며 상기 가동요소(21)와 협동하여 냉동실(20′)의 냉기가 누출됨을 차단하는 냉기누출방지용 협동요소(22)를 구비하여, 상품 보관 및 적재시 냉동실(20′)의 냉기유출을 차단하도록 구성되어 있으며, 상기 상품적재용 가동요소(21)가 그 양측면에 고정되는 슬라이드부재(28)와, 브래키트(5)에 고정되어 슬라이드부재(28)를 지지하는 레일(29)과, 그 사이에 삽입되는 리테이너(29a) 및 베어링(29b)에 의해 냉동실(20′)의 전후로 슬라이드 이동하도록 설치되어, 상품적재시 상품적재용 가동요소(21)를 전방으로 인출하여 상품을 적재하도록 구성되어 있다. 상기한 본 발명에 의한 스넥판매용 자동판매기는 관리취급이 간편용이하고, 유지비용이 감소되며, 사용수명이 연장되는 이점이 있다.",G07F,,,
1.02011E+12,"보안 문서, 특히 지폐의 제어 생산을 위한 방법이 개시되는데, 상기 보안 문서는 복수의 처리 스테이션에서 복수의 연속 인쇄 및 처리 작업(20.1 20.2)을 받는다.  이 방법은 (i)데이터 네트워크(15)를 통해 복수의 로컬 컴퓨터 스테이션(25.1, 25.2, 26.1, 26.2)에 결합된 중앙 서버 스테이션(10)을 제공하는 단계를 포함하는데, 상기 로컬 컴퓨터 스테이션(25.1, 25.2)은 각각의 처리 스테이션에 동적으로 결합되고; (ⅱ) 적어도 하나의 생산 오더를 포함하는데, 이 생산 오더는 복수의 생산 부하(30*,30**, 30***) 로 분할되고, 각 부하는 기계 판독가능 부하 식별자(35)에 할당되고: (ⅲ) 생산 워크플로우에 따라 생산 오더의 처리를 수행하도록 이용가능한 처리 스테이션(20.1, 20.2) 중에서 선택된 처리 스테이션을 할당하는 단계; 및 (ⅳ) 각 생산 부하에 대해 정의된 대응 생산 오더의 결정된 생산 워크플로우에 따라 처리 스테이션(20.1, 20.2)을 통해 각 생산 부하(30*,30**, 30***)를 선택적으로 처리하는 단계를 포함하는데, 각 생산 부하(30*,30**, 30***)는 상기 이용가능한 처리 스테이션(20.1, 20.2) 중에서 선택된 처리 스테이션 상에서 처리되도록 허가받기 이전에 그 기계 판독가능 식별자(35)에 기반하여 부하 수용 절차를 거치게 된다.  또한 상기 방법을 수행하는 시스템이 개시된다.",G07D,,,
1.01998E+12,"본 고안은 인트라넷 환경을 기반으로 한 동영상 가상 백화점에 관한 것으로서, 기계구조는 터치스크린을 이용할 수 있는 모니터가 있고, 신용카드 결재를 할 수 있는 카드 판독기가 있고, V.O.D서버에서 자료를 운영할 수 있는 중앙처리 장치가 있고, 카드명세표 인쇄기와 그 출구가 있으며 메모리 시스템, 전송장치, 플로피, 고속전송장치와 디코더, 스피커, 전화장치가 있어 소비자가 원하는 제품을 검색하고 선택, 입력해서 V.O.D 서버와 은행 온라인 망으로 전송하는 기계로서 입점 업체들로선 효율적이고 저렴하게 제품 홍보 및 판매를 할 수 있으며 소비자에게는 좋은 품질의 제품을 저렴하게 구입할 수 있는 장점이 있으며 고비용 저효율의 유통구조를 개선, 보완할 수 있는 동영상 가상 백화점에 대한 것이다.",G06Q,,,
1.02007E+12,"본 발명은 화물 등을 차량에 적재하고자 할 경우 사용되는 상차 장치에 관한 것으로, 일정거리 이격되어 길이방향으로 평행하게 구비된 한 쌍의 레일과; 상기 레일을 따라 이동가능하게 장착된 플랫폼과; 상기 플랫폼을 상기 레일 상에서 전기로 이동시키는 이동수단과; 상기 이동수단의 동작을 제어하는 제어장치와; 상기 레일의 상측에 구비되어 상기 플랫폼에 적재되어 이동된 적재물을 잡아주는 적재물 거치대를 포함하여 구성된 것을 특징으로 하여, 접안된 배에서 바로 화물용 차량으로 오징어 등 살아 있는 수산물(어획물)을 이동시킬 수 있음으로써, 인력 및 시간 낭비를 막고 불필요한 전력 소모를 줄이며, 효과적으로 플랫폼의 이동 횟수를 카운팅할 수 있는 사다리식 상차 장치에 관한 것이다.사다리, 상차, 플랫폼, 레일, 적재물 거치대",G01G,,,
1.01995E+12,"본 발명에 따른 트레이 피이더의 트레버스부는 트레버스 판, 트레버스 직류전동기, 인입 센서, 인입 실린더, 배출 센서 및 배출 실린더를 갖춘다. 트레버스 판에는 팔렛이 탑재된다. 트레버스 직류전동기는 트레버스 판을 구동시킨다. 인입 센서는 트레버스 판이 메거진 박스 내로 인입된 것을 감지한다. 인입 실린더는 인입 센서가 감지할 때 트래버스 판을 소정의 위치까지 밀어준다. 배출 센서는 트레버스 판이 메거진 박스로부터 배출된 것을 감지한다. 배출 실린더는 배출 센서가 감지할 때 트래버스 판을 소정의 위치까지 밀어준다.",G05B,,,
1.01993E+12,"공중통신망을 이용하여 다수의 자동판매기를 원격 관리하는 원격관리시스템에서 가입자선로의 사용중에 정보를 전송할 수 없고 자동판매기의 상태 확인에 많은 시간이 소요되며 전달할 수 있는 정보의 종류 및 내용이 한정되는 것을 개선한다. 이를 위해 문의정보의 수신에 응답하여 상태정보를 커플러로 전송하며 작업명령메세지의 작업을 처리한 후 작업결과 메세지를 커플러로 전송하는 자동판매기와, 문의정보를 자동판매기들로 순차로 전송하여 자동판매기들의 동작상태를 스캐닝함에 따른 상태정보를 가입자 선로를 통한 문의정보의 수신에 응답하여 해당 가입자 선로로 전송하며 가입자 선로를 통해 수신되는 작업명령 메세지를 해당 자동판매기로 전송한 후 수신되는 작업결과 메세지를 해당 가입자 선로로 전송하는 커플러와 커플러와 연결된 가입자 선로들을 순차적으로 선택하여 문의정보를 전송하는 것에 의해 커플러들을 스캐닝하여 상태정보를 수신하며 작업명령 메세지를 해당 커플러로 전송한 후 작업결과 메세지를 수신하여 시스템 제어수단으로 전송하는 선로 다중접속 장치와, 작업명령 메세지를 수신하여 시스템 제어수단으로 전송하는 선로 다중접속장치와, 작업명령 메세지를 발생하여 선로 다중접속장치로 전송하며 선로 다중접속장치로부터 작업결과 메세지와 상태정보를 수신하여 처리하는 컴퓨터 센터로 구성한다. 따라서 가입자 선로의 사용여부에 관계없이 자동판매기의 각종 현황정보를 종류나 내용에 제한을 받지 않고 확인할 수 있으며 확인에 소요되는 시간을 감소시킨다.  ",G07F,,,
1.02009E+12,"본 발명은 권종에 따라 색상으로 분류하여 포장지의 관리가 용이하며 포장지의 포장 길이를 조절할 수 있는 주화포장기용 주화포장부에 관한 것으로, 더욱 상세하게는 상기 포장이송부의 주화안치구가 주화를 안치시킨 상태로 다수 개의 포장롤러의 사이에 위치하면 권종의 종류 또는 이송거리를 확인할 수 있는 포장지가 공급롤러의 구동으로 커팅날의 전방을 지나 이송하여 포장롤러와 주화의 외주면에 접촉하면서 공급롤러의 구동력을 전달받아 감지구동하는 포장엔코더수단에 의해 포장지로 주화를 2~3회 권취한 후 커팅날로 절단하는 동시에 포장롤러의 회전으로 포장을 완료하는 주화포장부로 구성하는 것을 특징으로 한다.주화포장기, 은행, 권종, 주화선별기, 포장지, 커팅날, 동전, 엔코더, 센서",G07D,,,
1.02007E+12,"본 발명은 매체자동지급기의 매체이송장치 및 매체이송방법에 관한 것이다. 본 발명은 내부에 매체(M)가 집적되는 집적공간(35)이 구비되며, 일측에 매체가 입출되는 입출구(41)가 형성되는 집적박스(33)와; 상기 집적박스(33)를 고객접근모듈에 이송시키기 위한 동력을 제공하는 박스이송모터(34)와; 상기 입출구(41)로 매체를 인입시키고, 상기 입출구(41)를 빠져나온 매체를 회수함으로 하강시키도록 서로 반대방향으로 회전하는 제1 및 제2매체이송롤러(70,72)와; 상기 제1매체이송롤러(70)의 일방향으로의 회전동력만이 전달되고, 입출구(41)로 인입되는 매체를 상기 집적공간(35) 내부로 전달하는 인입롤러(52); 그리고 상기 제2매체이송롤러(72)의 일방향으로의 회전동력만이 전달되고, 상기 집적공간(35)에 집적된 매체를 상기 입출구(41)로 내보내는 인출롤러(54)를 포함하여 구성된다. 이와 같은 구성을 가지는 본 발명에 의하면 집적박스에 매체가 집적되자마자 바로 고객접근모듈로 이송준비가 완료되므로 전체적인 구성이 상대적으로 간소화되며, 매체의 이송이 보다 신속하게 이루어지는 이점이 있다.매체, 집적, 이송, 회수",G07D,,,
1.02005E+12,"본 발명은 차량의 내부에 설치된 트레이의 일측에 제공되어 트레이에 의해 가압되는 로드; 상기 로드가 이동하는 통로를 제공하고, 상기 로드에 의해 가압되는 공기가 유출되는 유출구가 형성되며, 상기 로드에 의해 가압되는 로드 스프링이 설치된 로드 하우징; 및 상기 로드 하우징의 일측에 연결되어 상기 로드에 의해 가압되는 공기를 제공받고, 상기 로드 하우징에서 유입되는 공기의 압력에 따라 작동하여 트레이의 이동을 방지하는 서브댐퍼를 포함함으로써, 트레이가 급격하게 전진하여 개방되는 것을 방지하는 효과를 얻을 수 있다.댐퍼, 로드, 하우징, 서브댐퍼, 스토퍼",G05G,,,
1.02004E+12,"                            자재 입고 관리에서 코일(Coil) 업체로부터 입고되는 코일의 중량이 주문된 중량과 일치하는지를 자동으로 확인하여 코일에 대한 자재 관리에 신뢰성을 제공하도록 하는 것으로, 코일 주문시 주문 번호를 생성하는 구매 관리용 PC와, 코일 공급업체에 설치되며, 주문에 따라 생산된 코일의 상세 정보를 생성하는 생산 관리용 PC와, 코일의 측면에 부착되어 있는 바코드를 스캔하여 코일에 대한 정보를 판독하는 스캐너와, 이송되는 코일의 중량을 측정하는 로드 셀과, 구매 관리용 PC에서 제공된 코일 주문 번호와 주문 중량에 대한 정보와 코일 공급업체의 생산 관리용 PC에서 제공되는 코일의 상세 정보 및 스캐너에서 제공되는 코일 제조 코드 정보를 가공하여 자재 관리 수급을 위한 코일 정보 테이블을 생성하여 데이터 베이스로 관리하는 자재 관리 시스템과, 상기 자재 관리 시스템에서 제공되는 정보와 로드 셀에서 제공되는 정보의 비교를 통해 입고된 코일의 중량을 확인하는 PLC 및 입고된 코일에 대한 중량 정보 및 주문 중량의 이상 여부를 지시하는 표시부를 포함한다.                                                    자재 관리, 코일, 바코드, 제조 코드                    ",G01G,,,
1.01998E+12,"본 발명은 냉동/냉장식품 복합자동판매기에 관한 것으로, 외부케이스(10)의 전면에 소비자가 상품을 선택하여 구입할 수 있도록 조작부가 구비된 도어(20)가 회동가능하게 설치되고, 상기 외부케이스의 중앙부에는 냉동/냉장식품 적재챔버(11a,11b)와 냉각시스템설치챔버(12)로 나누도록 제1,2격벽부재(13,14)가 설치되며, 상기 냉동식품적재챔버에는 냉동식품이 자동판매될 수 있도록 상품투출수단(31)과 랙크(32)를 갖춘 냉동식품랙크조립체(30)가 설치되고, 다른 한쪽 냉장식품챔버에는 냉장식품이 자동판매될 수 있도록 냉장식품랙크조립체(40)가 설치된 구조로, 소비자가 한 대의 판매기에서 냉동식품과 냉장식품을 동시에 구입할 수 있도록 된 것이다.",G07F,G06Q,,
1.01998E+12,"본 발명은 장동계량 및 분배장치가 장착된 각종 산적화물용 호퍼배출 및 장입 판컨베이어에 관한 것이며,  판컨베이어의 운반통로에는 로드셀(16)등에 배치된 계량브리지에 의해 구성된 계량장소(15)가 설치되고,  계량브리지는 운반작업시 반복된 측정에 의해 적재된 운반벨트의 지지중량을 결정한다.정확한 계량측정을 달성하기 위해,  예컨데,  평링크체인을 구비한 견인소자(6)의 수평인장력은 게량소에서 측정된 수직지지력에서 분리된다.그 결과 견인소자(6)는 수직방향으로 소정범위까지 자율이 이동되도록 판컨베이어에서 판소자(7)에 접속되며,  이 접속은 볼트홈에 수지헐거움을 가진 횡단볼트를 통하여 이루어진다.",G01G,,,
1.01998E+12,"본 발명은, 물품과 이 물품에 관련되는 정보를 조합하여, 보다 고도로 물품을 관리하기 위한 물품관리시스템을 제공한다.본 발명에 있어서는, 관리대상물에 부여된 카드에 기억된 정보를 읽어 내기 위한 복수의 읽어내기장치와, 상황에 대한 관리내용을 기억하는 기억장치와, 상황에 따라 실행하는 처리를 설정하기 위한 조건설정부와, 읽어내기장치로부터 읽어 내어진 정보와 조건설정부에 의하여 설정된 내용에 의거하여 처리를 실행하는 상태감시부와, 관리대상물을 관리하기 위한 카드에 저장하는 식별번호를 관리하기 위한 관리부와, 상태감시부에 의하여 실행된 처리를 알리기 위한 표시수단에 의해 물품관리시스템을 구성한다.",G06Q,,,
1.0201E+12,"본 발명은, 처리량을 높일 수 있어 지엽류의 무게를 고정밀도로 측정할 수 있는 지엽류의 질량 측정 장치를 제공하는 것을 과제로 한다.질량 측정 장치(10)는 우편물의 반송 방향과 교차하는 상하 방향으로 이격하여 병설한 2개의 구동 롤러(2U, 2L)를 갖는다.  또한, 각 구동 롤러(2U, 2L)를 회전시키는 서보 모터(6U, 6L)에는 토크 검출 장치(8U, 8L)가 접속되어 있다.  제어부는 각 구동 롤러에 속도차를 갖게 하여 반송 도중의 우편물을 자전시키도록 모터 제어 장치(7U, 7L)를 제어하고, 토크 검출 장치(8U, 8L)를 통하여 각 서보 모터(6U, 6L)의 회전 토크를 검출한다.  그리고, 제어부는 이 검출한 회전 토크를 공회전 시의 회전 토크와 비교하여 연산부를 통하여 당해 우편물의 질량을 측정한다.",G01G,,,
1.02006E+12,"본 발명은 매체자동지급기의 매체 덤핑장치에 관한 것이다. 본 발명은 스태킹휠(52)에서 매체를 분리하여 안내하도록 프레임에 양단이 지지되어 설치되는 홀더스트리퍼(50)와, 상기 홀더스트리퍼(50)에서 소정 거리 이격되어 상기 프레임에 양단이 지지되어 설치되는 홀더샤시(60)와, 상기 홀더스트리퍼(50)와 홀더샤시(60)의 하부에 위치되고 매체가 통과하는 덤핑통공(72)이 형성되며 상기 홀더샤시(60)에 이동가능하게 설치되어 구동원의 구동력을 전달받아 상기 홀더샤시(60)에 대해 이동되는 덤핑브라켓(70)과, 상기 홀더샤시(60)에 회전중심이 연결되고, 상기 회전중심 반대단부에는 상기 덤핑브라켓(70)에 일단부가 연결되는 스프링(82)이 연결되어 상기 덤핑브라켓(70)의 이동과 연동되어 회전하면서 상기 덤핑통공(72)을 개폐하고 상기 덤핑통공(72)으로 매체를 안내하도록 경사지게 개방되는 가이드도어(80)를 포함하여 구성된다.매체, 자동지급, 회수, 걸림",G07D,,,
1.01988E+12,"해당 매장의 주요상품, PLU 화일 및 관련 점원 화일을 저장한 램팩을 슬레이브 터미널에 부착함으로써, 마스터 고장 또는 슬레이브 터미널의 통신부 고장시에도 정상적인 업무를 수행하도록 한다.점원 사인-온시 해당 슬레이브 터미널의 통신부 고장인가 검사하여 정상일시 마스터 터미널의 저장 화일을 이용하여 등록 업무를 수행한다. 사인-온시 또는 등록 업무 수행중 통신부 동작 불능시 해당 슬레이브 터미널의 램팩에 저장된 화일을 이용하여 등록업무를 수행한다. 이어 램팩으로 등록 업무를 수행하는중 통신부 고장을 복구했는가 검사하며, 고장 상태일시 바로 위 과정으로 되돌아간다. 고장 복구 상태일시 해당 슬레이브 터미널의 램팩에 저장한 등록 정보를 마스터 터미널로 전송하고 클리어한후 등록업무를 수행후 점원의 사인-오프인가 검사하여, 사인-오프이면 마스터 터미널과 통신상태 불능여부를 검사한다. 이때 통신상태 불능일시 해당 슬레이브 터미널의 램팩에 저장된 점원 판매 관리 화일을 이용하여 사인-오프하고, 통신상태 가능시 램팩에 저장된 점원 판매 관리화일을 이용하여 사인-오프한다. 점검 또는 정상 필요시까지 해당 슬레이브 터미널의 통신 기능이 복구되지 않았을시, 슬레이브 터미널의 램팩에 저장하고 있던 등록 정보를 마스터 터미널의 램팩 입력부에 입력시켜 정보를 합계 한다.",G06Q,,,
1.02003E+12,"임의의 연락사항을 작업기계가 배치되는 현장으로부터 작업관리처에 필요한 타이밍으로 연락할 수 있는 작업기계의 통신시스템을 제공하기 위하여 작업기계97)에 설치한 메일스위치(10)가 조작되어 서버(1)에 정보가 보내지면, 단말소속회사 식별부(14)는 보내져 온 정보의 송신지를 단말정보 데이터베이스(18)에 의거하여 식별하고, 소속회사별 메일선택부(15)는 고객 데이터베이스(19)로부터 송신지의 고객정보(19a)를 선택하여 송신메일작성부(16)에서 대응하는 메일문(16a)을 작성하고, 메일출력부(17)로부터 메일을 송신함으로써 원격지의 작업기계로부터 임의의 연락사항을 필요한 타이밍으로 사용자에게 보낼 수 있도록 하였다.",G05B,,,
1.01998E+12,"본 발명은 복도와 도로위로 서로 연결되어 있는 다수의 항공기 계단 즉, 탑승게이트와 대체로 중앙에 설치된 통관수속시설과 상점과 레스토랑 및 그와 같은 생필품 제공시설을 가지고 있는 이·착륙기 대합실과 인포메이션 테이블을 통한 여행안내 및 더 나아가 문자 또는 그림 광고를 중개하는 인포메이션 운반체를 가진 공항시설용 광고판 이용 시스템에 관한 것으로서, 이때 탑승객에게 공항시설 내 수하물의 운송을 위한 짐수레가 제공되는 광고판 이용 시스템으로서 공항시설의 저면 위로 다수의 광고 테이블이 장치되고, 이때 표준 광고와 병행하여 적어도, 특히 일정 수의 상이한 광고업무를 저장하고 임의의 차례에 따라 저장된 광고업무의 하나가 선택적으로 게시되어질 수 있도록 임의로 전환될 수 있는 것을 특징으로 하는 광고판 이용 시스템.",G06Q,G09F,,
1.01993E+12,"본 발명은 자동판매기용 물품자동배출장치에 관한 것으로써, 모터에 의해 회전하는 회전판과, 일측단이 회전원판의 소정위치에 연결된 지지대와, 지지대의 타측단에 연결되고 회전원판의 회전에 따라 배출구안으로 인입되거나 밖으로 배출되는 물품받침대와, 지지대에 의해 스위칭되는 스위치 박스; 스위치박스의 상태를 인식하여 모터의 회전을 제어하는 컨트롤러와, 회전원판에 의해 이동하는 이동막대와, 이동막대와 일체로 연결된 문자, 배출구로 안내하는 가이드로 구성되어, 배출구의 문을 자동으로 개폐할 뿐만 아니라, 물품을 자동으로 배출한다.",G07F,,,
1.02001E+12,"본 발명은 각 유조차의 배달상황을 효율적으로 관리하여, 유류배달에 걸리는 시간을 단축할 수 있도록 된 새로운 개념의 인터넷을 이용한 유류배달시스템에 관한 것이다.본 발명에 따르면, 유류판매소에서 운영하는 다수의 유조차(2)를 이용하여 고객이 지정한 배달장소에 유류를 배달하는 유류배달시스템에 있어서, 상기 유조차(2)에 구비되며 위치전파를 발신하는 위치전파발신기(4)와, 이 위치전파발신기(4)에서 발신된 위치전파를 추척하여 위치전파발신기(4)의 위치를 파악하여 상기 위치전파발신기(4)의 위치에 관련된 데이터를 출력하는 위치측정장치(6)와, 상기 유류판매소에 구비되며 상기 위치측정장치(6)에서 발신된 위치데이터를 수신하는 위치데이터수신기(8)를 포함하여 구성되며, 고객이 유류배달을 주문하면, 상기 유류판매소에서는 상기 위치데이터수신기(8)를 이용하여 각 유조차(2)의 위치를 파악한 후, 고객이 배달을 주문한 배달장소에서 가장 가깝거나, 가장 빠른 시간내에 배달장소에 도착할 수 있는 유조차(2)에 주문내용을 전달하여, 유류배달을 할 수 있도록 된 것을 특징으로 하는 유류배달시스템이 제공된다. ",G01S,,,
1.01996E+12,"규제 부재를 받침판에 간단히 부착할 수 있는 자동 판매기를 제공하는 것을 목적으로 한다.자동 판매기(1)의 상하 방향의 상품 통로(4)는 길이가 다른 음료 캔(7)을 수납하고 있다. 받침판(11)이 상품 통로의 상부와 연통하고, 상품을 상품 통로에 안내하고 있다. 좌우 방향의 레일(21)이 받침판의 전방부에 설치되어 있다. 규제 부재(31)는 받침판에 적재되는 기판(32)과, 기판의 좌측단에 세워 설치되어 있는 규제판(33)을 구비하고 있으며, 그 전방단에는 레일과 미끄럼 이동 가능하게 결합하는 받침부(34)가 설치되어 있다. 받침부가 레일과 결합하여 기판이 받침판에 적재되어있는 상태에서는 규제 부재는 전후 및 상하 방향으로의 이동이 저지되고 있으며, 좌우 방향 및 레일을 축으로 한 회전이 허용되고 있다. 규제 부재가 제거 각도 까지회진하면, 받침부는 레일로부터 이탈할 수 있다.",G07F,,,
1.01991E+12,"본 발명은 시시각각으로 변화하는 생산 상황에 따라서 최적인 우선 순위를 설정하는 생산 관리 장치 및 생산 관리 방법을 실현하는 것이다.본 발명에 있어서는 관리 수단이 생산 롯드의 우선도를 포함하는 롯드 정보와 생산 상황에 따라서 생산 지시 정보를 발생하고, 반송 수단이 이 생산 지시 정보에 따라서 소정의 생산 롯드를 반송하는 동시에, 생산 상황을 표시하는 제1상태 정보를 출력한다.한편, 제조 수단은 반송 수단에 의해 반송되는 생산 롯드에 대하여 상기 생산 지시 정보에 따른 내용의 제조 처리를 하는 동시에 생산 상황을 표시하는 제2상태 정보를 출력한다.그리고 관리 수단은 동시에 처리해야 할 복수의 제조 처리가 존재할 경우, 이들 제조 처리 각각에 대하여 상기 우선도와 상기 생산 상황에 의거한 새로운 우선 순위를 설정한다.[색인어]병행 생산, 생산 관리, 우선도, 롯드 정보, 상태 정보, 관리 수단, 반송 수단, 제조 수단.",G06Q,G05B,,
1.02011E+12,"본 발명의 매체자동지급기는, 매체를 집적하기 위한 집적장치를 내장하는 트레(20)이와, 상기 트레이의 상부에서 슬라이딩 가능하도록 설치되고 상기 트레이 내부의 집적장치로 매체를 안내하는 경로를 구비하는 입출금모듈(10)을 구비한다. 그리고 입출금모듈의 저면에는 힌지핀(P)에 의하여 회동하면서 입출금모듈을 개폐하는 가이드(12)가 설치되고, 상기 가이드의 선단부에는 상방으로 경사진 슬라이딩브라켓(16)이 구비된다.  상기 입출금모듈이 트레이의 상부에서 슬라이딩되면 상기 슬라이딩브라켓은 트레이의 상면과 접촉하여 상기 가이드를 닫는 방향으로 회동시킨다.  그리고 상기 가이드의 내부에는 걸림후크(14)가 설치되고, 입출금모듈의 내부에 설치되고 상기 걸림후크와 체결되는 체결핀(24)이 설치된다. 트레이의 상부에는 상방으로 탄성력을 발휘하고 단부에 푸쉬롤러가 구비된 판스프링이 설치되어, 푸쉬롤러가 가이드를 상방으로 가압하여 걸림후크가 체결핀에 체결되도록 한다. ",G07D,,,
1.02012E+12,"화물실에 설치된 개폐 가능한 도어를 시정/해정하기 위한 도어 로크 장치로서, 도어에 설치되는 도어 로크 본체와, 휴대형의 리모컨 장치와, 리모컨 장치와의 사이에서 신호를 송수신하여 도어 로크 본체의 동작을 제어하는 컨트롤러를 구비한다.  도어 로크 본체는 도어의 시정/해정 기구로 이루어지는 도어 로크부와, 도어의 시정/해정을 하기 위한 스위치와, 도어 로크 본체에 설치되고, 리모컨 장치와의 사이에서 신호를 송수신하는 안테나 유닛과를 구비한다.  컨트롤러는 안테나 유닛을 통하여 리모컨 장치와의 사이에서 신호를 송수신하고, 컨트롤러에는, 상기 리모컨 장치가 상기 안테나 유닛으로부터 소정의 거리 범위에 있을 때에 상기 도어 로크 본체를 동작 가능하게 하는 전파 수신 범위가 설정되어, 리모컨 장치가 전파 수신 범위 내에 있고, 또한 스위치가 조작되었을 때에, 도어의 시정/해정을 행하도록 도어 로크 본체를 제어한다.  ",G07C,,,
1.01996E+12,"본 발명은 화물차량의 적재화물 체크장치에 관한 것으로서, 화물차량의 타이어 공기압 밀도 변화를 감지하는 감지센서(S) 상기 감지센서(S)의 감지값을 증폭하는 증폭부(AMP) 상기 증폭부(AMP)로부터 검출 데이터를 받아 연산 처리하는 제어부(C) 상기 제어부(C)로부터 신호를 받아 표시하도록 하며 운전석의 소정부위에 설치되는 표시부(D)로 구성된 것이다. 따라서 화물차량 적재함에 적재되는 화물의 중량 및 적재함 중량분포를 운전자가 용이하게 인지할 수 있다.",G01G,,,
